料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
クリームシチュー,くりーむしちゅー,96.5,4.0,5.6,6.9,313.0
冷しゃぶ,れいしゃぶ,147.4,9.6,10.0,3.3,138.4
あじの塩焼き,あじのしおやき,120.2,20.5,3.5,0.1,70.7
サンマの塩焼き,さんまのしおやき,306.6,18.4,24.3,0.1,91.0
ブリの照り焼き,ぶりのてりやき,269.8,18.6,18.7,4.0,106.0
鮭のムニエル,さけのむにえる,173.5,20.4,7.8,3.5,100.3
鰆のねぎ味噌焼き,さわらのねぎみそやき,177.6,13.2,9.0,8.2,111.5
焼魚の野菜あんかけ,やきざかなのやさいあんかけ,112.1,8.7,5.8,5.7,144.5
魚のホイル焼き,ざかなのほいるやき,94.8,11.3,3.6,4.5,150.8
サバのチリ味炒め,さばのちりあじいため,174.7,11.9,9.4,8.3,134.5
エビのチリ味炒め,えびのちりあじいため,131.3,14.3,4.2,5.8,156.1
鯵フライ（ソース付き）,あじふらい（そーすつき）,223.2,15.4,12.2,10.9,116.0
南蛮漬（あじ）,なんばんづけ（あじ）,124.7,10.8,6.8,4.0,138.7
揚げ鮭のマリネ,あげさけのまりね,118.0,9.5,5.8,6.0,147.4
さつま揚げ,さつまあげ,244.4,13.2,18.1,5.4,99.0
イカの天ぷら（大根おろし天つゆ付き）,いかのてんぷら（だいこんおろしてんつゆつき）,137.5,10.0,6.3,9.1,190.5
エビの天ぷら（大根おろし天つゆ付き）,えびのてんぷら（だいこんおろしてんつゆつき）,147.4,12.1,6.7,8.3,205.5
いかリング,いかりんぐ,174.2,14.8,9.1,7.0,99.3
エビフライ（1尾、ソース付き）,えびふらい（1び、そーすつき）,172.5,14.5,8.2,8.6,105.5
カキフライ（4個）,かきふらい（4こ）,156.2,6.7,9.9,9.3,100.5
鯛の煮付け,たいのにつけ,101.4,9.7,2.6,6.3,159.8
カレイの煮つけ,かれいのにつけ,81.5,10.4,0.7,6.2,168.0
サバの味噌煮,さばのみそに,194.1,17.1,9.8,5.8,101.0
秋刀魚のみぞれ煮（1匹）,さんまのみぞれに（1ひき）,168.7,8.2,11.8,5.3,238.3
ブリ大根,ぶりだいこん,65.7,4.6,3.5,3.1,409.5
イカと里芋煮,いかとさといもに,82.8,7.6,0.5,10.7,194.5
マグロ（赤身）の刺身（5切）（醤油付き）,まぐろ（あかみ）のさしみ（5きれ）（しょうゆつき）,124.7,24.2,1.5,2.1,73.0
マグロ（とろ）の刺身（5切）（醤油付き）,まぐろ（とろ）のさしみ（5きれ）（しょうゆつき）,315.9,18.4,24.3,2.4,63.0
タイの刺身（5切）（醤油付き）,たいのさしみ（5きれ）（しょうゆつき）,189.5,20.6,10.2,1.5,86.0
かんぱちの刺身（5切）（醤油付き）,かんぱちのさしみ（5きれ）（しょうゆつき）,128.4,19.7,4.1,1.7,88.0
ブリの刺身（5切）（醤油付き）,ぶりのさしみ（5きれ）（しょうゆつき）,244.3,20.0,16.3,1.8,88.0
サーモンの刺身（5切）（醤油付き）,さーもんのさしみ（5きれ）（しょうゆつき）,215.9,19.5,13.6,1.6,88.0
イカの刺身（醤油付き）,いかのさしみ（しょうゆつき）,91.9,17.3,1.4,1.6,86.0
タコの刺身（5切）（醤油付き）,たこのさしみ（5きれ）（しょうゆつき）,101.2,20.6,0.9,1.5,86.0
甘えびの刺身（5尾）（醤油付き）,あまえびのさしみ（5び）（しょうゆつき）,94.4,17.8,0.6,3.3,18.0
たまごの袋煮,たまごのふくろに,78.3,4.7,5.6,1.8,272.0
茶碗蒸し,ちゃわんむし,53.4,6.4,2.3,1.5,192.8
ゆで卵（塩）,ゆでたまご（しお）,151.1,12.3,10.3,0.4,50.3
目玉焼き（塩）,めだまやき（しお）,179.7,11.9,13.8,0.4,52.3
ハムエッグ,はむえっぐ,204.5,12.8,16.0,0.5,74.3
厚焼き卵,あつやきたまご,169.4,8.5,12.5,4.5,73.8
オムレツ,おむれつ,196.0,10.1,16.0,0.8,64.3
湯豆腐（3分の1丁）（味付けあり）,ゆどうふ（3ふんの1ちょう）（あじつけあり）,30.4,2.1,0.9,3.1,339.0
枝豆,えだまめ,132.8,11.5,6.1,8.7,61.0
冷奴（3分の1丁、しょうゆかけ）,ひややっこ（3ふんの1ちょう、しょうゆかけ）,57.9,5.4,2.7,2.6,114.0
揚げ出し豆腐（2分の1丁）,あげだしどうふ（2ふんの1ちょう）,114.0,3.3,8.0,6.1,243.0
麻婆豆腐,まーぼどうふ,118.0,7.4,8.0,3.2,206.0
高野豆腐の含め煮（1枚）,こうやどうふのふくめに（1まい）,117.3,10.2,6.7,3.8,79.3
厚揚げの煮物（4分の1枚）,あつあげのにもの（4ふんの1まい）,89.7,6.0,5.9,2.5,97.0
おからの炒め煮,おからのいために,78.9,2.4,3.7,8.8,144.5
ほうれん草のお浸し,ほうれんそうのおしたし,25.3,3.3,0.4,3.3,79.0
小松菜のお浸し,こまつなのおしたし,20.3,2.7,0.3,2.7,79.0
なすの中華お浸し,なすのちゅうかおしたし,28.6,1.4,0.1,6.3,73.4
ほうれん草のごま和え,ほうれんそうのごまあえ,47.4,2.9,1.8,6.3,78.0
菜花のからし和え,なのはなのからしあえ,36.7,4.4,0.4,6.2,79.0
わかめとレタスのポン酢和え,わかめとれたすのぽんすあえ,29.2,1.4,1.3,4.5,71.9
夏野菜のなめたけ和え,なつやさいのなめたけあえ,26.1,1.6,0.2,7.0,57.5
トマトとオクラのごまおかか和え,とまととおくらのごまおかかあえ,43.2,2.3,1.1,7.2,81.0
豆苗ともやしのごま酢和え,とうみゃおともやしのごますあえ,51.9,3.5,1.3,7.8,77.0
小松菜とこんにゃくのごま和え,こまつなとこんにゃくのごまあえ,29.3,1.3,0.8,5.3,75.0
チンゲン菜のさっぱりネギだれ,ちんげんさいのさっぱりねぎだれ,29.5,0.5,0.1,6.7,74.5
大根と長いもの梅びしお和え,だいこんとながいものうめびしおあえ,53.5,1.4,0.2,11.6,43.0
小松菜の昆布和え,こまつなのこんぶあえ,24.7,2.2,0.2,6.0,85.0
きのこのおろし和え,きのこのおろしあえ,40.4,2.7,2.0,7.1,89.0
にんじんとえのきのナムル,にんじんとえのきのなむる,86.4,1.3,6.0,8.3,60.2
きゅうりとワカメの酢の物,きゅうりとわかめのすのもの,15.1,1.0,0.2,3.4,86.3
きゅうりとみょうがの甘酢和え,きゅうりとみょうがのあまずあえ,26.9,1.0,0.1,6.1,67.0
紅白なます,こうはくなます,32.2,0.5,0.1,7.4,80.8
レタスサラダ（ドレッシングなし）,れたすさらだ（どれっしんぐなし）,16.7,0.8,0.1,3.8,90.0
コーンサラダ（ドレッシングなし）,こーんさらだ（どれっしんぐなし）,34.5,1.3,0.2,7.7,110.0
ツナサラダ（ドレッシングなし）,つなさらだ（どれっしんぐなし）,85.5,5.5,6.0,2.9,110.0
ポテトサラダ,ぽてとさらだ,124.0,2.6,7.3,11.8,167.0
ごぼうサラダ,ごぼうさらだ,124.1,2.0,8.0,11.9,83.0
大根サラダ（ドレッシングなし）,だいこんさらだ（どれっしんぐなし）,18.7,0.7,0.1,4.0,75.0
春キャベツのサラダ（味付けあり）,はるきゃべつのさらだ（あじつけあり）,44.7,2.0,1.1,7.5,89.5
ミモザサラダ（マヨネーズ和え）,みもざさらだ（まよねーずあえ）,144.1,4.0,10.5,9.2,82.6
かぼちゃのヨーグルトサラダ（マヨネーズ和え）,かぼちゃのよーぐるとさらだ（まよねーずあえ）,139.2,2.6,7.4,16.6,74.0
かぼちゃサラダ（マヨネーズ和え）,かぼちゃさらだ（まよねーずあえ）,103.0,1.8,4.7,14.3,71.8
れんこんのマヨサラダ,れんこんのまよさらだ,138.3,3.2,9.4,10.9,65.8
白菜ツナサラダ（マヨ醤油和え）,はくさいつなさらだ（まよしょうゆあえ）,113.3,2.7,9.9,3.4,56.5
大根と水菜のサラダ（三杯酢）,だいこんとみずなのさらだ（三はいず）,40.0,1.3,1.0,6.9,62.5
白菜とりんごのサラダ（ドレッシングかけ）,はくさいとりんごのさらだ（どれっしんぐかけ）,45.5,0.5,2.3,6.2,92.2
れんこん挟み焼き＿きのこ餡かけ,れんこんばさみやき＿きのこあんかけ,119.4,7.2,6.3,8.1,178.5
しいたけの網焼き（3枚）,しいたけのあみやき（3まい）,20.8,3.2,0.5,5.3,43.2
焼き茄子,やきなす,29.2,2.4,0.1,5.4,89.0
野菜の甘酢炒め,やさいのあまずいため,90.3,1.2,3.7,12.8,83.1
