料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） くずでんぷん,356.0,0.2,0.2,85.6,0.0
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） べいでんぷん,375.0,0.2,0.7,89.3,0.0
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） こむぎでんぷん,360.0,0.2,0.5,86.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） さごでんぷん,357.0,0.1,0.2,86.1,0.0
＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） さつまいもでんぷん,340.0,0.1,0.2,82.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） じゃがいもでんぷん,338.0,0.1,0.1,81.6,0.0
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,＜でんぷん・でんぷんせいひん＞ （でんぷんるい） とうもろこしでんぷん,363.0,0.1,0.7,86.3,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） くずきり いぬい,341.0,0.2,0.2,87.7,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） くずきり ゆで,133.0,0.1,0.1,33.3,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） ごまどうふ,75.0,1.5,4.3,9.1,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） たぴおかぱーる いぬい,352.0,0.0,0.2,87.8,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） たぴおかぱーる ゆで,61.0,0.0,0.0,15.4,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） でんぷんめん なま,129.0,0.1,0.2,32.2,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） でんぷんめん いぬい,347.0,0.2,0.3,86.7,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） でんぷんめん いぬい ゆで,83.0,0.0,0.2,20.6,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） はるさめ りょくとうはるさめ いぬい,344.0,0.2,0.4,87.5,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） はるさめ りょくとうはるさめ ゆで,78.0,0.0,0.1,20.6,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） はるさめ ふつうはるさめ いぬい,346.0,0.0,0.2,86.6,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,＜でんぷん・でんぷんせいひん＞ （でんぷんせいひん） はるさめ ふつうはるさめ ゆで,76.0,0.0,0.0,19.9,0.0
（砂糖類）　黒砂糖,（さとうるい） くろざとう,352.0,1.7,0.0,90.3,0.0
（砂糖類）　てんさい含蜜糖,（さとうるい） てんさいがんみつとう,357.0,0.9,0.0,96.9,0.0
（砂糖類）　和三盆糖,（さとうるい） わさんぼんとう,393.0,0.2,0.0,99.0,0.0
（砂糖類）　車糖　上白糖,（さとうるい） くるまとう じょうはくとう,391.0,0.0,0.0,99.3,0.0
（砂糖類）　車糖　三温糖,（さとうるい） くるまとう さんおんとう,390.0,0.0,0.0,99.0,0.0
（砂糖類）　ざらめ糖　グラニュー糖,（さとうるい） ざらめとう ぐらにゅーとう,394.0,0.0,0.0,100.0,0.0
（砂糖類）　ざらめ糖　白ざら糖,（さとうるい） ざらめとう しろざらとう,393.0,0.0,0.0,100.0,0.0
（砂糖類）　ざらめ糖　中ざら糖,（さとうるい） ざらめとう ちゅうざらとう,393.0,0.0,0.0,100.0,0.0
（砂糖類）　加工糖　角砂糖,（さとうるい） かこうとう かくざとう,394.0,0.0,0.0,100.0,0.0
（砂糖類）　加工糖　氷砂糖,（さとうるい） かこうとう こおりざとう,394.0,0.0,0.0,100.0,0.0
（砂糖類）　加工糖　コーヒーシュガー,（さとうるい） かこうとう こーひーしゅがー,394.0,0.1,0.0,99.8,0.0
（砂糖類）　加工糖　粉糖,（さとうるい） かこうとう ふんとう,393.0,0.0,0.0,99.7,0.0
（砂糖類）　液糖　しょ糖型液糖,（さとうるい） えきとう しょとうがたえきとう,267.0,0.0,0.0,67.9,0.0
（砂糖類）　液糖　転化型液糖,（さとうるい） えきとう てんかがたえきとう,294.0,0.0,0.0,76.6,0.0
（砂糖類）　氷糖みつ,（さとうるい） こおりとうみつ,274.0,0.2,0.0,68.2,0.0
（でん粉糖類）　還元麦芽糖,（でんぷんとうるい） かんげんばくがとう,208.0,0.0,0.0,100.0,0.0
（でん粉糖類）　還元水あめ,（でんぷんとうるい） かんげんみずあめ,210.0,0.0,0.0,69.9,0.0
（でん粉糖類）　粉あめ,（でんぷんとうるい） こなあめ,397.0,0.0,0.0,97.0,0.0
（でん粉糖類）　水あめ　酵素糖化,（でんぷんとうるい） みずあめ こうそとうか,342.0,0.0,0.0,85.0,0.0
（でん粉糖類）　水あめ　酸糖化,（でんぷんとうるい） みずあめ さんとうか,341.0,0.0,0.0,85.0,0.0
（でん粉糖類）　ぶどう糖　全糖,（でんぷんとうるい） ぶどうとう ぜんとう,342.0,0.0,0.0,91.0,0.0
（でん粉糖類）　ぶどう糖　含水結晶,（でんぷんとうるい） ぶどうとう がんすいけっしょう,342.0,0.0,0.0,91.3,0.0
（でん粉糖類）　ぶどう糖　無水結晶,（でんぷんとうるい） ぶどうとう むすいけっしょう,374.0,0.0,0.0,99.7,0.0
（でん粉糖類）　果糖,（でんぷんとうるい） かとう,375.0,0.0,0.0,99.9,0.0
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,（でんぷんとうるい） いせいかえきとう ぶどうとうかとうえきとう,283.0,0.0,0.0,75.0,0.0
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,（でんぷんとうるい） いせいかえきとう かとうぶどうとうえきとう,283.0,0.0,0.0,75.0,0.0
（でん粉糖類）　異性化液糖　高果糖液糖,（でんぷんとうるい） いせいかえきとう こうかとうえきとう,282.0,0.0,0.0,75.0,0.0
（その他）　黒蜜,（そのた） くろみつ,199.0,1.0,0.0,50.5,0.0
（その他）　はちみつ,（そのた） はちみつ,329.0,0.3,0.0,81.9,0.0
（その他）　メープルシロップ,（そのた） めーぷるしろっぷ,266.0,0.1,0.0,66.3,0.0
あずき　全粒　乾,あずき ぜんつぶ いぬい,304.0,20.8,2.0,59.6,0.0
あずき　全粒　ゆで,あずき ぜんつぶ ゆで,124.0,8.6,0.8,25.6,0.0
あずき　ゆで小豆缶詰,あずき ゆであずきかんづめ,202.0,4.4,0.4,49.2,0.0
あずき　あん　こし生あん,あずき あん こしなまあん,147.0,9.8,0.6,27.1,0.0
あずき　あん　さらしあん　（乾燥あん）,あずき あん さらしあん （かんそうあん）,335.0,23.5,1.0,66.8,0.0
あずき　あん　こし練りあん　（並あん）,あずき あん こしねりあん （なみあん）,255.0,5.6,0.3,58.8,0.0
あずき　あん　こし練りあん　（中割りあん）,あずき あん こしねりあん （なかわりりあん）,262.0,5.1,0.3,61.1,0.0
あずき　あん　こし練りあん　（もなかあん）,あずき あん こしねりあん （もなかあん）,292.0,5.1,0.3,68.6,0.0
あずき　あん　つぶし練りあん,あずき あん つぶしねりあん,239.0,5.6,0.6,54.0,0.0
いんげんまめ　全粒　乾,いんげんまめ ぜんつぶ いぬい,280.0,22.1,2.5,56.4,0.0
いんげんまめ　全粒　ゆで,いんげんまめ ぜんつぶ ゆで,127.0,9.3,1.2,24.5,0.0
いんげんまめ　うずら豆,いんげんまめ うずらまめ,214.0,6.7,1.3,49.6,0.0
いんげんまめ　こし生あん,いんげんまめ こしなまあん,135.0,9.4,0.9,27.0,0.0
いんげんまめ　豆きんとん,いんげんまめ まめきんとん,238.0,4.9,0.5,56.2,0.0
えんどう　全粒　青えんどう　乾,えんどう ぜんつぶ あおえんどう いぬい,310.0,21.7,2.3,60.4,0.0
えんどう　全粒　青えんどう　ゆで,えんどう ぜんつぶ あおえんどう ゆで,129.0,9.2,1.0,25.2,0.0
えんどう　全粒　赤えんどう　乾,えんどう ぜんつぶ あかえんどう いぬい,310.0,21.7,2.3,60.4,0.0
えんどう　全粒　赤えんどう　ゆで,えんどう ぜんつぶ あかえんどう ゆで,129.0,9.2,1.0,25.2,0.0
えんどう　グリンピース（揚げ豆）,えんどう ぐりんぴーす（あげまめ）,375.0,20.8,11.6,58.8,0.0
えんどう　塩豆,えんどう しおまめ,321.0,23.3,2.4,61.5,0.0
えんどう　うぐいす豆,えんどう うぐいすまめ,228.0,5.6,0.7,52.9,0.0
ささげ　全粒　乾,ささげ ぜんつぶ いぬい,280.0,23.9,2.0,55.0,0.0
ささげ　全粒　ゆで,ささげ ぜんつぶ ゆで,130.0,10.2,0.9,23.8,0.0
そらまめ　全粒　乾,そらまめ ぜんつぶ いぬい,323.0,26.0,2.0,55.9,0.0
そらまめ　フライビーンズ,そらまめ ふらいびーんず,436.0,24.7,20.8,46.4,0.0
そらまめ　おたふく豆,そらまめ おたふくまめ,237.0,7.9,1.2,52.2,0.0
そらまめ　ふき豆,そらまめ ふきまめ,251.0,9.6,1.6,52.5,0.0
そらまめ　しょうゆ豆,そらまめ しょうゆまめ,173.0,9.8,0.9,37.1,0.0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ あおだいず こくさん いぬい,354.0,33.5,19.3,30.1,0.0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ あおだいず こくさん ゆで,145.0,15.0,8.2,9.9,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ きだいず こくさん いぬい,372.0,33.8,19.7,29.5,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ きだいず こくさん ゆで,163.0,14.8,9.8,8.4,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ きだいず べいこくさん いぬい,402.0,33.0,21.7,28.8,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ きだいず ちゅうごくさん いぬい,391.0,32.8,19.5,30.8,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ きだいず ぶらじるさん いぬい,414.0,33.6,22.6,30.7,0.0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ くろだいず こくさん いぬい,349.0,33.9,18.8,28.9,0.0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぜんつぶ くろだいず こくさん ゆで,155.0,14.7,8.6,9.8,0.0
だいず　［全粒・全粒製品］　いり大豆　青大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ いりだいず あおだいず,425.0,37.7,20.7,33.9,0.0
だいず　［全粒・全粒製品］　いり大豆　黄大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ いりだいず きだいず,429.0,37.5,21.6,33.3,0.0
だいず　［全粒・全粒製品］　いり大豆　黒大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ いりだいず くろだいず,431.0,36.4,22.0,34.3,0.0
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ みずにかんづめ きだいず,124.0,12.9,6.7,7.7,0.0
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ むしだいず きだいず,186.0,16.6,9.8,13.8,0.0
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ あおだいず ぜんつぶだいず,424.0,37.0,22.8,29.3,0.0
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ あおだいず だっぴだいず,418.0,36.6,24.6,28.3,0.0
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ きだいず ぜんつぶだいず,451.0,36.7,25.7,28.5,0.0
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ きだいず だっぴだいず,456.0,37.5,25.1,29.5,0.0
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ（さとうはいり） あおきなこ,392.0,18.5,11.4,64.3,0.0
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,だいず ［ぜんつぶ・ぜんつぶせいひん］ きなこ（さとうはいり） きなこ,406.0,18.3,12.9,63.9,0.0
だいず　［全粒・全粒製品］　大豆はいが,だいず ［ぜんつぶ・ぜんつぶせいひん］ だいずはいが,404.0,37.8,14.7,39.5,0.0
だいず　［全粒・全粒製品］　ぶどう豆,だいず ［ぜんつぶ・ぜんつぶせいひん］ ぶどうまめ,265.0,14.1,9.4,37.0,0.0
だいず　［豆腐・油揚げ類］　木綿豆腐,だいず ［とうふ・あぶらあげるい］ もめんとうふ,73.0,7.0,4.9,1.5,350.0
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,だいず ［とうふ・あぶらあげるい］ もめんとうふ （ぎょうこざい：えんかまぐねしうむ）,73.0,7.0,4.9,1.5,0.0
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,だいず ［とうふ・あぶらあげるい］ もめんとうふ （ぎょうこざい：りゅうさんかるしうむ）,73.0,7.0,4.9,1.5,0.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐,だいず ［とうふ・あぶらあげるい］ きぬごしどうふ,56.0,5.3,3.5,2.0,350.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,だいず ［とうふ・あぶらあげるい］ きぬごしどうふ （ぎょうこざい：えんかまぐねしうむ）,56.0,5.3,3.5,2.0,0.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,だいず ［とうふ・あぶらあげるい］ きぬごしどうふ （ぎょうこざい：りゅうさんかるしうむ）,56.0,5.3,3.5,2.0,0.0
だいず　［豆腐・油揚げ類］　ソフト豆腐,だいず ［とうふ・あぶらあげるい］ そふととうふ,56.0,5.1,3.3,2.0,0.0
だいず　［豆腐・油揚げ類］　充てん豆腐,だいず ［とうふ・あぶらあげるい］ じゅうてんどうふ,56.0,5.0,3.1,2.5,0.0
だいず　［豆腐・油揚げ類］　沖縄豆腐,だいず ［とうふ・あぶらあげるい］ おきなわとうふ,99.0,9.1,7.2,0.7,0.0
だいず　［豆腐・油揚げ類］　ゆし豆腐,だいず ［とうふ・あぶらあげるい］ ゆしとうふ,47.0,4.3,2.8,1.7,0.0
だいず　［豆腐・油揚げ類］　焼き豆腐,だいず ［とうふ・あぶらあげるい］ やきどうふ,82.0,7.8,5.7,1.0,0.0
だいず　［豆腐・油揚げ類］　生揚げ,だいず ［とうふ・あぶらあげるい］ なまあげ,143.0,10.7,11.3,0.9,0.0
だいず　［豆腐・油揚げ類］　油揚げ　生,だいず ［とうふ・あぶらあげるい］ あぶらあげ なま,377.0,23.4,34.4,0.4,0.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,だいず ［とうふ・あぶらあげるい］ あぶらあげ あぶらぬき なま,266.0,18.2,23.4,0.0,0.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,だいず ［とうふ・あぶらあげるい］ あぶらあげ あぶらぬき ゆで,164.0,12.4,13.8,0.3,0.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,だいず ［とうふ・あぶらあげるい］ あぶらあげ あぶらぬき やき,361.0,24.9,32.2,0.7,0.0
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,だいず ［とうふ・あぶらあげるい］ あぶらあげ うまに,231.0,11.2,13.0,19.1,0.0
だいず　［豆腐・油揚げ類］　がんもどき,だいず ［とうふ・あぶらあげるい］ がんもどき,223.0,15.3,17.8,1.6,0.0
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,だいず ［とうふ・あぶらあげるい］ こおりどうふ いぬい,496.0,50.5,34.1,4.2,0.0
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,だいず ［とうふ・あぶらあげるい］ こおりどうふ みずに,104.0,10.7,7.3,1.1,0.0
だいず　［豆腐・油揚げ類］　豆腐よう,だいず ［とうふ・あぶらあげるい］ とうふよう,183.0,9.5,8.3,19.1,0.0
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,だいず ［とうふ・あぶらあげるい］ とうふちくわ むし,121.0,14.9,4.4,6.7,0.0
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,だいず ［とうふ・あぶらあげるい］ とうふちくわ やき,133.0,16.1,4.9,7.5,0.0
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,だいず ［とうふ・あぶらあげるい］ ろくじょうとうふ,332.0,34.7,21.5,3.8,0.0
だいず　［納豆類］　糸引き納豆,だいず ［なっとうるい］ いとひきなっとう,190.0,16.5,10.0,12.1,50.0
だいず　［納豆類］　挽きわり納豆,だいず ［なっとうるい］ ひきわりなっとう,185.0,16.6,10.0,10.5,50.0
だいず　［納豆類］　五斗納豆,だいず ［なっとうるい］ ごとなっとう,214.0,15.3,8.1,24.0,50.0
だいず　［納豆類］　寺納豆,だいず ［なっとうるい］ てらなっとう,248.0,18.6,8.1,31.5,0.0
だいず　［その他］　おから　生,だいず ［そのた］ おから なま,88.0,6.1,3.6,13.8,0.0
だいず　［その他］　おから　乾燥,だいず ［そのた］ おから かんそう,333.0,23.1,13.6,52.3,0.0
だいず　［その他］　豆乳　豆乳,だいず ［そのた］ とうにゅう とうにゅう,44.0,3.6,2.0,3.1,0.0
だいず　［その他］　豆乳　調製豆乳,だいず ［そのた］ とうにゅう ちょうせいとうにゅう,63.0,3.2,3.6,4.8,0.0
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,だいず ［そのた］ とうにゅう まめにゅういんりょう・ばくがこーひー,59.0,2.2,2.2,7.8,0.0
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,だいず ［そのた］ だいずたんぱく りゅうじょうだいずたんぱく,318.0,46.3,3.0,36.7,0.0
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,だいず ［そのた］ だいずたんぱく のうしゅくだいずたんぱく,313.0,58.2,1.7,27.9,0.0
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,だいず ［そのた］ だいずたんぱく ぶんりだいずたんぱく えんぶんむちょうせいたいぷ,335.0,79.1,3.0,7.5,0.0
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,だいず ［そのた］ だいずたんぱく ぶんりだいずたんぱく えんぶんちょうせいたいぷ,335.0,79.1,3.0,7.5,0.0
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,だいず ［そのた］ だいずたんぱく せんいじょうだいずたんぱく,365.0,59.3,5.0,25.2,0.0
だいず　［その他］　湯葉　生,だいず ［そのた］ ゆば なま,218.0,21.8,13.7,4.1,0.0
だいず　［その他］　湯葉　干し　乾,だいず ［そのた］ ゆば ほし いぬい,485.0,50.4,32.1,7.2,0.0
だいず　［その他］　湯葉　干し　湯戻し,だいず ［そのた］ ゆば ほし ゆもどし,151.0,15.7,10.6,0.1,0.0
だいず　［その他］　金山寺みそ,だいず ［そのた］ きんざんじみそ,247.0,6.9,3.2,50.0,0.0
だいず　［その他］　ひしおみそ,だいず ［そのた］ ひしおみそ,198.0,6.5,2.7,38.8,0.0
だいず　［その他］　テンペ,だいず ［そのた］ てんぺ,180.0,15.8,9.0,15.4,0.0
つるあずき　全粒　乾,つるあずき ぜんつぶ いぬい,297.0,20.8,1.6,61.8,0.0
つるあずき　全粒　ゆで,つるあずき ぜんつぶ ゆで,132.0,9.7,1.0,27.5,0.0
ひよこまめ　全粒　乾,ひよこまめ ぜんつぶ いぬい,336.0,20.0,5.2,61.5,0.0
ひよこまめ　全粒　ゆで,ひよこまめ ぜんつぶ ゆで,149.0,9.5,2.5,27.4,0.0
ひよこまめ　全粒　フライ　味付け,ひよこまめ ぜんつぶ ふらい あじつけ,366.0,18.8,10.4,62.6,0.0
べにばないんげん　全粒　乾,べにばないんげん ぜんつぶ いぬい,273.0,17.2,1.7,61.2,0.0
べにばないんげん　全粒　ゆで,べにばないんげん ぜんつぶ ゆで,103.0,6.2,0.6,22.3,0.0
やぶまめ　乾,やぶまめ いぬい,383.0,23.4,10.1,49.5,0.0
らいまめ　全粒　乾,らいまめ ぜんつぶ いぬい,306.0,21.9,1.8,60.8,0.0
らいまめ　全粒　ゆで,らいまめ ぜんつぶ ゆで,122.0,9.6,0.9,26.0,0.0
りょくとう　全粒　乾,りょくとう ぜんつぶ いぬい,319.0,25.1,1.5,59.1,0.0
りょくとう　全粒　ゆで,りょくとう ぜんつぶ ゆで,125.0,10.2,0.6,22.5,0.0
レンズまめ　全粒　乾,れんずまめ ぜんつぶ いぬい,313.0,23.2,1.5,60.7,0.0
レンズまめ　全粒　ゆで,れんずまめ ぜんつぶ ゆで,149.0,11.2,0.8,29.1,0.0
アーモンド　乾,あーもんど いぬい,609.0,19.6,51.8,20.9,0.0
アーモンド　フライ　味付け,あーもんど ふらい あじつけ,626.0,21.3,55.7,17.9,0.0
アーモンド　いり　無塩,あーもんど いり むえん,608.0,20.3,54.1,20.7,0.0
あさ　乾,あさ いぬい,450.0,29.9,28.3,31.7,0.0
あまに　いり,あまに いり,540.0,21.8,43.3,30.4,0.0
えごま　乾,えごま いぬい,523.0,17.7,43.4,29.4,0.0
カシューナッツ　フライ　味付け,かしゅーなっつ ふらい あじつけ,591.0,19.8,47.6,26.7,0.0
かぼちゃ　いり　味付け,かぼちゃ いり あじつけ,590.0,26.5,51.8,12.0,0.0
かや　いり,かや いり,629.0,8.7,64.9,22.6,0.0
ぎんなん　生,ぎんなん なま,168.0,4.7,1.6,34.8,0.0
ぎんなん　ゆで,ぎんなん ゆで,169.0,4.6,1.5,35.8,0.0
（くり類）　日本ぐり　生,（くりるい） にほんぐり なま,147.0,2.8,0.5,36.9,0.0
（くり類）　日本ぐり　ゆで,（くりるい） にほんぐり ゆで,152.0,3.5,0.6,36.7,0.0
（くり類）　日本ぐり　甘露煮,（くりるい） にほんぐり かんろに,232.0,1.8,0.4,56.8,0.0
（くり類）　中国ぐり　甘ぐり,（くりるい） ちゅうごくぐり あまぐり,207.0,4.9,0.9,48.5,0.0
くるみ　いり,くるみ いり,713.0,14.6,68.8,11.7,0.0
けし　乾,けし いぬい,555.0,19.3,49.1,21.8,0.0
ココナッツ　ココナッツパウダー,ここなっつ ここなっつぱうだー,676.0,6.1,65.8,23.7,0.0
ごま　乾,ごま いぬい,604.0,19.8,53.8,16.5,0.0
ごま　いり,ごま いり,605.0,20.3,54.2,18.5,0.0
ごま　むき,ごま むき,570.0,19.3,54.9,18.8,0.0
ごま　ねり,ごま ねり,646.0,19.0,61.0,15.6,0.0
しい　生,しい なま,244.0,3.2,0.8,57.6,0.0
すいか　いり　味付け,すいか いり あじつけ,528.0,29.6,46.4,13.4,0.0
チアシード　乾,ちあしーど いぬい,446.0,19.4,33.9,34.5,0.0
とち　蒸し,とち むし,148.0,1.7,1.9,34.2,0.0
はす　未熟　生,はす みじゅく なま,81.0,5.9,0.5,14.9,0.0
はす　成熟　乾,はす せいじゅく いぬい,327.0,18.3,2.3,64.3,0.0
はす　成熟　ゆで,はす せいじゅく ゆで,118.0,7.3,0.8,25.0,0.0
（ひし類）　ひし　生,（ひしるい） ひし なま,183.0,5.8,0.5,40.6,0.0
（ひし類）　とうびし　生,（ひしるい） とうびし なま,122.0,2.7,0.4,31.4,0.0
（ひし類）　とうびし　ゆで,（ひしるい） とうびし ゆで,120.0,2.7,0.3,30.5,0.0
ピスタチオ　いり　味付け,ぴすたちお いり あじつけ,617.0,17.4,56.1,20.9,0.0
ひまわり　フライ　味付け,ひまわり ふらい あじつけ,587.0,20.1,56.3,17.2,0.0
ブラジルナッツ　フライ　味付け,ぶらじるなっつ ふらい あじつけ,703.0,14.9,69.1,9.6,0.0
ヘーゼルナッツ　フライ　味付け,へーぜるなっつ ふらい あじつけ,701.0,13.6,69.3,13.9,0.0
ペカン　フライ　味付け,ぺかん ふらい あじつけ,716.0,9.6,73.4,13.3,0.0
マカダミアナッツ　いり　味付け,まかだみあなっつ いり あじつけ,751.0,8.3,76.7,12.2,0.0
まつ　生,まつ なま,681.0,15.8,68.2,10.6,0.0
まつ　いり,まつ いり,724.0,14.6,72.5,8.1,0.0
らっかせい　大粒種　乾,らっかせい おおつぶたね いぬい,572.0,25.2,47.0,19.4,0.0
らっかせい　大粒種　いり,らっかせい おおつぶたね いり,613.0,25.0,49.6,21.3,0.0
らっかせい　小粒種　乾,らっかせい こつぶたね いぬい,573.0,25.4,47.5,18.8,0.0
らっかせい　小粒種　いり,らっかせい こつぶたね いり,607.0,26.5,49.4,19.6,0.0
らっかせい　バターピーナッツ,らっかせい ばたーぴーなっつ,609.0,23.3,53.2,18.3,0.0
らっかせい　ピーナッツバター,らっかせい ぴーなっつばたー,599.0,20.6,50.4,24.9,0.0
アーティチョーク　花らい　生,あーてぃちょーく からい なま,39.0,2.3,0.2,11.3,0.0
アーティチョーク　花らい　ゆで,あーてぃちょーく からい ゆで,35.0,2.1,0.1,10.8,0.0
あさつき　葉　生,あさつき は なま,34.0,4.2,0.3,5.6,0.0
あさつき　葉　ゆで,あさつき は ゆで,41.0,4.2,0.3,7.3,0.0
あしたば　茎葉　生,あしたば けいよう なま,30.0,3.3,0.1,6.7,0.0
あしたば　茎葉　ゆで,あしたば けいよう ゆで,28.0,2.9,0.1,6.6,0.0
アスパラガス　若茎　生,あすぱらがす わかくき なま,21.0,2.6,0.2,3.9,0.0
アスパラガス　若茎　ゆで,あすぱらがす わかくき ゆで,25.0,2.6,0.1,4.6,0.0
アスパラガス　若茎　油いため,あすぱらがす わかくき あぶらいため,54.0,2.9,3.9,4.1,0.0
